year	video_id	source	srt_file	title
-4000	F0E9Qs_CG9w	yt-auto	F0E9Qs_CG9w.ru.srt	Додинастический Древний Египет
-3500	J2mK8Vqmf7E	yt-auto	J2mK8Vqmf7E.ru.srt	Изобретение цивилизации и начало исторического времени
-3000	VqDlWssSP6w	yt-auto	VqDlWssSP6w.ru.srt	Династический Египет. Раннее и Древнее царства (3000 - 2100 гг. до н.э).
-2900	YRFdcoLM9F0	yt-auto	YRFdcoLM9F0.ru.srt	Месопотамия Бронзового Века
-2600	7o2Pe7o9QOo	yt-auto	7o2Pe7o9QOo.ru.srt	Пролог к истории Индии. Хараппская цивилизация
-2100	mFqCMoWZWnU	yt-auto	mFqCMoWZWnU.ru.srt	Династический Египет: Среднее Царство (2100-1650 гг. до н.э.)
-2000	rhpj_69Qezg	yt-auto	rhpj_69Qezg.ru.srt	Докитайская история Китая
-2000	F9I_5QDdhBY	yt-auto	F9I_5QDdhBY.ru.srt	Любовь, смерть и клинопись в Месопотамии
-2000	nrHLq0Ekc6U	whisper	nrHLq0Ekc6U.ru.srt	С чего начинается Греция
-1650	KmuhAy_bpjo	yt-auto	KmuhAy_bpjo.ru.srt	Хетты
-1550	IRvS4wrsMYU	yt-auto	IRvS4wrsMYU.ru.srt	Древний Египет. Возвышение Нового Царства
-1500	4himGneaZsw	yt-auto	4himGneaZsw.ru.srt	Ведический мир древней Индии
-1500	1VJzyZcZQD4	yt-auto	1VJzyZcZQD4.ru.srt	Первые цивилизации Америки
-1200	a23Az24sLG0	yt-auto	a23Az24sLG0.ru.srt	Древний Египет. Упадок и смерть Нового Царства
-1200	65djxs3IuHg	yt-auto	65djxs3IuHg.ru.srt	Исторический ветхозаветный Израиль
-1200	aQwluMGvvtA	yt-auto	aQwluMGvvtA.ru.srt	Финикия и начало Железного века в Средиземноморье
-1070	RnJwmEn_3K4	yt-auto	RnJwmEn_3K4.ru.srt	Древний Египет после Катастрофы Бронзового века (XI - IV вв.  до н. э.)
-911	RHr9t7hDrag	yt-auto	RHr9t7hDrag.ru.srt	Ассирия и Новый Вавилон
-814	cZkhX1uWekw	yt-manual	cZkhX1uWekw.ru.srt	Карфаген: финикийское наследие Западного Средиземноморья
-800	Zo5mTJb2ZHc	yt-auto	Zo5mTJb2ZHc.ru.srt	Италия до Рима. Цивилизация этрусков
-700	zOKXKSU_YwY	yt-auto	zOKXKSU_YwY.ru.srt	Кочевые цивилизации Античности
-700	hZzA1hAIc2c	yt-auto	hZzA1hAIc2c.ru.srt	Феномен Древней Греции
-550	m5o1XrFdB8k	yt-auto	m5o1XrFdB8k.ru.srt	Доктор Лао-цзы, или как я перестал бояться и полюбил культуру
-550	wEzP7qlXNvw	yt-auto	wEzP7qlXNvw.ru.srt	Древняя Персия
-500	GTCboFpCy7A	yt-auto	GTCboFpCy7A.ru.srt	Цивилизации Чёрной Африки
-450	6J9qk0vfi_o	yt-auto	6J9qk0vfi_o.ru.srt	Геродот, "история" и Древний Египет
-431	h0yMPGxJlpw	yt-auto	h0yMPGxJlpw.ru.srt	Кризис классической Греции и Александр Великий
-400	sFGkVZnTWgc	yt-auto	sFGkVZnTWgc.ru.srt	Классический период в истории Индии(4 век до н.э. - 5 век н.э.)
-332	S4DqFjWyvpI	yt-auto	S4DqFjWyvpI.ru.srt	Иудея под властью греков и римлян
-323	2MFX6m-XKKE	yt-auto	2MFX6m-XKKE.ru.srt	Эллинизм: меланхоличный, интеллектуальный, твой
-323	nLexlVy0DeY	yt-auto	nLexlVy0DeY.ru.srt	Эллинистический Восток после Александра Македонского
-300	c6TsKmRLMIk	yt-auto	c6TsKmRLMIk.ru.srt	Начало японской истории
-300	UBTdPo5OF74	yt-auto	UBTdPo5OF74.ru.srt	Первые государства Корейского полуострова
-221	kePVo1PtkUc	yt-auto	kePVo1PtkUc.ru.srt	Цинь  Первая китайская империя
-206	B37HoSWCTrs	yt-auto	B37HoSWCTrs.ru.srt	Империя Хань. Расцвет и упадок китайской античности
100	ON08uK42tYE	yt-auto	ON08uK42tYE.ru.srt	Раннее христианство позднего Рима
184	yfXjQIH-WaU	yt-auto	yfXjQIH-WaU.ru.srt	Агония империи Хань и эпоха Троецарствия в Китае
420	HvVFxUtNEDQ	yt-auto	HvVFxUtNEDQ.ru.srt	Раннесредневековый Китай. Северные и Южные династии.
440	Id2R9S32yEA	yt-auto	Id2R9S32yEA.ru.srt	Романо-германский мир
450	jQtj8uANmIE	whisper	jQtj8uANmIE.ru.srt	Англосаксы и рождение Англии
476	od0gtn_CaXE	yt-auto	od0gtn_CaXE.ru.srt	Страх и ненависть в Константинополе
500	OAPiql7foDw	yt-auto	OAPiql7foDw.ru.srt	История евреев в Средние века и Раннее новое время
500	2_5nTOlpLkQ	yt-auto	2_5nTOlpLkQ.ru.srt	История ранних славян
500	PL59Kmneimk	yt-auto	PL59Kmneimk.ru.srt	Цивилизационный процесс в постклассический период
600	t0jaY70AaeQ	yt-auto	t0jaY70AaeQ.ru.srt	Средневековая Индия
610	CfeGd_KC6sI	yt-auto	CfeGd_KC6sI.ru.srt	Ислам, арабы, халифат
618	TJcSkVw2lcQ	yt-auto	TJcSkVw2lcQ.ru.srt	Средневековый Китай. Империя Великая Тан
697	QzROaHXCIGo	yt-auto	QzROaHXCIGo.ru.srt	Светлейшая Республика Венеция
768	ZyJ5P_FSvpI	yt-auto	ZyJ5P_FSvpI.ru.srt	Каролингское Возрождение
793	M1xwsNqF8ks	yt-auto	M1xwsNqF8ks.ru.srt	Скандинавы, варяги, викинги
935	51WteFAPC0Y	yt-auto	51WteFAPC0Y.ru.srt	История Кореи. Государство Корё (935 - 1392 гг. н. э.)
950	Vt-40ccqun4	yt-auto	Vt-40ccqun4.ru.srt	Средневековая Франция в X - XII в.в.
960	TD7xz_Y9NdI	yt-auto	TD7xz_Y9NdI.ru.srt	Средневековый Китай: Империя Сун (960 - 1279)
962	SzZteZjwpnQ	yt-auto	SzZteZjwpnQ.ru.srt	Священная Римская Империя в X-XIII вв.
988	yJ4hGmt_fKQ	yt-auto	yJ4hGmt_fKQ.ru.srt	Киевская Русь 988 - 1240 гг.
1000	9rQy2BORj5o	yt-auto	9rQy2BORj5o.ru.srt	Закат эпохи викингов и конец тёмных веков
1000	IfQ4erFToac	yt-auto	IfQ4erFToac.ru.srt	Полинезия - Новая Зеландия
1066	2ixyOG2PKc8	yt-auto	2ixyOG2PKc8.ru.srt	Средневековая Англия в XI - XIII веках
1096	hq9QEJjYWuY	yt-auto	hq9QEJjYWuY.ru.srt	Крестовые походы
1100	p-YYL8szOOo	yt-auto	p-YYL8szOOo.ru.srt	Северная Италия в Средние века. Герцогство Миланское
1185	6smfoDKverI	yt-auto	6smfoDKverI.ru.srt	Средневековая Япония XII - XIV вв. Сёгунат Камакура и период Намбокутё.
1189	a4Zq48NAQjw	yt-auto	a4Zq48NAQjw.ru.srt	Другие крестовые походы
1206	PC_af0gby3E	yt-auto	PC_af0gby3E.ru.srt	Чингисхан и создание Монгольской империи
1223	Z1thyqV_AkQ	yt-auto	Z1thyqV_AkQ.ru.srt	Средневековая Франция в XIII веке (1223-1314 гг.)
1240	iaaDgR1Scec	yt-auto	iaaDgR1Scec.ru.srt	Монгольский мир 13-14 вв.
1240	E9g63xFkbuo	yt-auto	E9g63xFkbuo.ru.srt	Русь после монгольского нашествия(XIII-XIV вв.)
1325	ipaxCwtLq1w	yt-auto	ipaxCwtLq1w.ru.srt	Ацтеки
1337	7lGbnOxrdqA	yt-auto	7lGbnOxrdqA.ru.srt	Англия в Позднее Средневековье (1337-1453). Столетняя Война.
1370	986dxlBwouQ	yt-auto	986dxlBwouQ.ru.srt	Тамерлан
1400	s9lMgkgF_IQ	yt-auto	s9lMgkgF_IQ.ru.srt	The World of Ideas of the Italian Renaissance
1400	Fq4vxc6FafU	yt-auto	Fq4vxc6FafU.ru.srt	Флоренция и Рим в эпоху Ренессанса
1415	Jz2onD-0S7o	yt-auto	Jz2onD-0S7o.ru.srt	Эпоха великих географических открытий. Часть первая.
1438	GQ5Ru8SlNhE	yt-auto	GQ5Ru8SlNhE.ru.srt	Государство Тиуатинсуйю, или Империя Инков
1450	WgxrYWxIWtU	whisper	WgxrYWxIWtU.ru.srt	Цивилизационный процесс в Раннее Новое время (XV - XVIII вв.  н. э.)
1450	Wh9sDzyWurI	yt-auto	Wh9sDzyWurI.ru.srt	Чёрная Африка в Новое время (XV - XIX вв.)
1455	eScFDVwCjEU	yt-auto	eScFDVwCjEU.ru.srt	War of the Roses: The end of English Middle Ages (1455 - 1486)
1462	HP4GBRnZFT8	yt-auto	HP4GBRnZFT8.ru.srt	Рождение Московского Царства (XV-XVI вв.)
1494	k72hhp5LnMU	yt-auto	k72hhp5LnMU.ru.srt	Джироламо Савонарола: Флоренция на кострах тщеславия
1500	m1--C42yOps	whisper	m1--C42yOps.ru.srt	Эпоха великих географических открытий. Часть вторая.
1607	DtSdvEBX0B0	whisper	DtSdvEBX0B0.ru.srt	Североамериканские колонии до обретения независимости
1624	YXdTPHnc_jI	yt-auto	YXdTPHnc_jI.ru.srt	История Тайваня, часть 1: Голландская Формоза, префектура империи Цин, колония Японской империи.
1652	650H1xBewRQ	yt-auto	650H1xBewRQ.ru.srt	История Южной Африки
1775	92HGyoRrGdU	yt-auto	92HGyoRrGdU.ru.srt	Американская революция
1788	rZvOJB03S1A	yt-auto	rZvOJB03S1A.ru.srt	История Австралии
1789	vtyFYCohbbc	yt-auto	vtyFYCohbbc.ru.srt	Великая французская революция
1800	AFyaeNUjPy0	yt-auto	AFyaeNUjPy0.ru.srt	Китай в 19-м веке. Закат последней империи.
1800	BWplj4BSIwY	whisper	BWplj4BSIwY.ru.srt	Мир в 19-м веке
1800	TMZ1AxijeNE	yt-auto	TMZ1AxijeNE.ru.srt	Самоопределение США в 19 м веке
1804	iPk2ETW82Tc	yt-auto	iPk2ETW82Tc.ru.srt	Империя Наполеона
1815	_eJUi09Atv8	yt-auto	_eJUi09Atv8.ru.srt	Франция после Наполеона. Век революций и Вторая Империя
1819	hvKXZugTQLw	yt-auto	hvKXZugTQLw.ru.srt	Сингапур в контексте Юго-Восточной Азии
1830	wu8pN3j4FiI	yt-auto	wu8pN3j4FiI.ru.srt	Французская колонизация Северной Африки
1841	LCUTyeevlw0	yt-auto	LCUTyeevlw0.ru.srt	История Гонконга
1853	OvZ0d--vKSE	yt-auto	OvZ0d--vKSE.ru.srt	Япония 1853-1869. Конец изоляции.
1858	FK1o1XX7ZI8	yt-auto	FK1o1XX7ZI8.ru.srt	Китай 1858-1911. Конец империи.
1869	Rv8bSKUS0Ro	whisper	Rv8bSKUS0Ro.ru.srt	Япония 1869-1912. Эпоха Мэйдзи.
1870	iesCp2swjAs	yt-auto	iesCp2swjAs.ru.srt	"Позолоченный век" США
1871	a_Po1K_8AcI	yt-auto	a_Po1K_8AcI.ru.srt	Франция 1871-1914. "Прекрасная эпоха" Третьей Республики.
1897	mAgKw__y88I	yt-auto	mAgKw__y88I.ru.srt	Сионизм и возникновение современного Израиля
1900	TYy9KG8gY9w	whisper	TYy9KG8gY9w.ru.srt	20-й век в истории
1900	B_AuO1jzaN8	yt-auto	B_AuO1jzaN8.ru.srt	США в числе мировых лидеров, первая половина ХХ в.
1905	6HxNM6rPn28	whisper	6HxNM6rPn28.ru.srt	Bushwacker-ликбез. Первая мировая: Корни ненависти.
1912	invu4id1Kec	whisper	invu4id1Kec.ru.srt	Китай 1912-1936. Республиканский опыт.
1912	zq5q5-ERJ2g	whisper	zq5q5-ERJ2g.ru.srt	Япония 1912-1945. Особенности японского колониализма.
1914	CLOkbAHfOFQ	yt-auto	CLOkbAHfOFQ.ru.srt	Bushwacker-ликбез. Первая мировая: Ненависть.
1916	SfTuUUbMZyQ	yt-auto	SfTuUUbMZyQ.ru.srt	Bushwacker-ликбез. Первая Мировая: Смерть гуманизма.
1918	abXpirjFWIY	whisper	abXpirjFWIY.ru.srt	Bushwacker-ликбез. Первая Мировая: вместо эпилога.
1919	cgc9aerg4oA	yt-auto	cgc9aerg4oA.ru.srt	Истоки и развитие итальянского фашизма
1920	f_rjtcJH51Y	yt-auto	f_rjtcJH51Y.ru.srt	История успеха национал-социализма
1933	85mNV7AyMlQ	yt-auto	85mNV7AyMlQ.ru.srt	Идеологические основы Холокоста
1933	7UEFGolN_ZI	yt-auto	7UEFGolN_ZI.ru.srt	Особенности португальского фашизма
1936	CQDd2sbMqBs	yt-auto	CQDd2sbMqBs.ru.srt	История испанского фашизма
1937	aRpdpZKLszA	yt-auto	aRpdpZKLszA.ru.srt	Китай 1937-1949.  Конец войны и основание КНР.
1941	ZPisLT-EvMs	yt-auto	ZPisLT-EvMs.ru.srt	США в годы Второй мировой войны
1945	BNkYi4aA0PE	yt-auto	BNkYi4aA0PE.ru.srt	История Тайваня, часть 2: Китайская Республика
1945	9pNuwYZEp9w	yt-auto	9pNuwYZEp9w.ru.srt	Послевоенные США (1945 - 1960)
1948	QhROKjpuLMM	whisper	QhROKjpuLMM.ru.srt	Bushwacker-ликбез. Введение в Корею
1948	8xiHqkuCJMo	whisper	8xiHqkuCJMo.ru.srt	Bushwacker-ликбез. Беженцы и ответы на вопросы
1948	XGR4tC75Qs8	whisper	XGR4tC75Qs8.ru.srt	Bushwacker-ликбез. Современная КНДР
1949	Fix0gSEIdHA	yt-auto	Fix0gSEIdHA.ru.srt	Китай 1949-1961. "Большой скачок".
1950	SOEzkF-JBKE	yt-auto	SOEzkF-JBKE.ru.srt	Японское экономическое чудо-юдо
1960	7IrWgmnrt8c	yt-auto	7IrWgmnrt8c.ru.srt	США в 1960е: "Великое общество", Контркультура, Вьетнам
1962	0P6m13kDmG4	yt-auto	0P6m13kDmG4.ru.srt	Китай 1962-1976.  Мао Цзэдун и Культурная революция.
1970	Ty9kHXQHGtA	yt-auto	Ty9kHXQHGtA.ru.srt	США в 1970е: "Кризис уверенности"
1970	K8TMncCk1MY	yt-auto	K8TMncCk1MY.ru.srt	Чили в 20 м веке. Диктатура Пиночета
1976	gJ3Ruh7ixpc	yt-auto	gJ3Ruh7ixpc.ru.srt	Китай 1976-1992. "Социализм с китайской спецификой"
1980	AlOP2jYks10	yt-auto	AlOP2jYks10.ru.srt	США в 1980е: Холодная война, Рейганомика и конец истории
1992	sdKVcda555U	yt-auto	sdKVcda555U.ru.srt	Китай на рубеже тысячелетий
2011	HoADfUpm3GU	yt-auto	HoADfUpm3GU.ru.srt	Ликбез по Сирии
